,training_type,network,optimizer,proposal,base_dist,step,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_self_normalized_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean,val_log_likelihood_importance_mean
,,,,,,,mean,std,count,min,max,mean,std,count,min,max
39,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,12519,-9.877342462539673,6.759281948146498,2,-14.656876564025879,-5.097808361053467,-3.245943069458008,0.05813432826283444,2,-3.287050247192383,-3.204835891723633
40,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,12832,-8.759823322296143,5.007663981655563,2,-12.300776481628418,-5.218870162963867,-3.311031460762024,0.048040158044475326,2,-3.345000982284546,-3.277061939239502
41,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,13145,-7.613709211349487,5.4120778288082665,2,-11.44062614440918,-3.786792278289795,-3.2049975395202637,0.058198391472571005,2,-3.246150016784668,-3.1638450622558594
42,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,13458,-8.173035383224487,4.408746811897328,2,-11.29049015045166,-5.0555806159973145,-3.230390429496765,0.06505568372529347,2,-3.2763917446136475,-3.184389114379883
43,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,13771,-8.124443531036377,5.337110723599758,2,-11.898350715637207,-4.350536346435547,-3.1546651124954224,0.04233752085355732,2,-3.1846022605895996,-3.124727964401245
44,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,14084,-9.146190881729126,6.480875376923784,2,-13.728861808776855,-4.5635199546813965,-3.830601692199707,1.1082483470208657,2,-4.614251613616943,-3.0469517707824707
45,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,14397,-8.9268217086792,4.146671301535616,2,-11.85896110534668,-5.994682312011719,-3.7713418006896973,0.15366875836987198,2,-3.880002021789551,-3.6626815795898438
46,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,14710,-7.29035210609436,3.519587898679732,2,-9.77907657623291,-4.8016276359558105,-3.1793681383132935,0.2767872893029254,2,-3.3750863075256348,-2.983649969100952
47,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,15023,-7.31051778793335,3.249529438035268,2,-9.608282089233398,-5.012753486633301,-3.1955119371414185,0.017857282539277715,2,-3.208138942718506,-3.182884931564331
48,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,15336,-6.284433364868164,2.8541683967679154,2,-8.302635192871094,-4.266231536865234,-3.1753087043762207,0.11976482190334457,2,-3.259995222091675,-3.0906221866607666
49,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,15649,-6.113969087600708,2.4830269577036517,2,-7.869734287261963,-4.358203887939453,-3.2068244218826294,0.19849496633430058,2,-3.347181558609009,-3.06646728515625
50,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,15962,-8.66887354850769,5.836557959124401,2,-12.795943260192871,-4.54180383682251,-3.2978556156158447,0.4359167619532629,2,-3.606095314025879,-2.9896159172058105
51,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,16275,-8.741097927093506,4.969217963618713,2,-12.254865646362305,-5.227330207824707,-3.325035572052002,0.24002427922081299,2,-3.494758367538452,-3.1553127765655518
52,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,16588,-6.686918258666992,3.7369540321410883,2,-9.329343795776367,-4.044492721557617,-3.135235548019409,0.04973058384455026,2,-3.170400381088257,-3.1000707149505615
53,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,16901,-6.886114597320557,3.881509630338541,2,-9.630756378173828,-4.141472816467285,-3.3411242961883545,0.3794504373670956,2,-3.609436273574829,-3.07281231880188
54,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,17214,-7.7771430015563965,4.02307448816566,2,-10.621886253356934,-4.932399749755859,-3.8683993816375732,0.46220695452999433,2,-4.1952290534973145,-3.541569709777832
55,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,17527,-7.421536684036255,1.6966483607890863,2,-8.621248245239258,-6.221825122833252,-3.484346032142639,0.17038335555232234,2,-3.604825258255005,-3.3638668060302734
56,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,17840,-6.970296144485474,1.651073119032922,2,-8.137781143188477,-5.802811145782471,-3.251059889793396,0.20579581202075167,2,-3.3965795040130615,-3.1055402755737305
57,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,18153,-6.554373741149902,3.100106384596989,2,-8.746479988098145,-4.36226749420166,-3.411168098449707,0.03205554427823365,2,-3.4338347911834717,-3.3885014057159424
58,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,18466,-6.084552764892578,2.804390608453033,2,-8.067556381225586,-4.10154914855957,-3.1376049518585205,0.13338061419587996,2,-3.231919288635254,-3.043290615081787
59,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,18779,-6.4689860343933105,3.0306706317870495,2,-8.611993789672852,-4.3259782791137695,-3.1331536769866943,0.055843899927358415,2,-3.1726412773132324,-3.0936660766601562
60,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,19092,-7.638536691665649,4.08220719097602,2,-10.525093078613281,-4.751980304718018,-3.462310791015625,0.41809741157764496,2,-3.7579503059387207,-3.1666712760925293
61,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,19405,-7.303199768066406,2.933867075777652,2,-9.37775707244873,-5.228642463684082,-3.249287486076355,0.2541446535837208,2,-3.42899489402771,-3.069580078125
62,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,19718,-6.737870454788208,3.256625281450562,2,-9.04065227508545,-4.435088634490967,-3.133629560470581,0.3410961308726058,2,-3.3748209476470947,-2.8924381732940674
63,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,20031,-7.01526665687561,3.7177320346470277,2,-9.644100189208984,-4.386433124542236,-3.0560007095336914,0.08603183305437734,2,-3.1168344020843506,-2.9951670169830322
64,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,20344,-6.710437297821045,3.088962757850709,2,-8.89466381072998,-4.526210784912109,-3.4238768815994263,0.5920784221188572,2,-3.8425395488739014,-3.005214214324951
65,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,20657,-6.723490953445435,0.36138225199786933,2,-6.979026794433594,-6.467955112457275,-3.239341139793396,0.1849917904209863,2,-3.370150089263916,-3.108532190322876
66,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,20970,-7.33206033706665,2.1772515717571155,2,-8.871609687805176,-5.792510986328125,-3.347328305244446,0.4082389265361588,2,-3.6359968185424805,-3.058659791946411
67,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,21283,-11.064753532409668,2.9776795677416965,2,-13.17029094696045,-8.959216117858887,-3.0140892267227173,0.023662083690986126,2,-3.030820846557617,-2.9973576068878174
68,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,21596,-10.241509437561035,0.523181980382463,2,-10.611454963684082,-9.871563911437988,-3.227032423019409,0.027089633999286072,2,-3.246187686920166,-3.2078771591186523
69,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,21909,-8.481328964233398,0.20681087672028806,2,-8.62756633758545,-8.335091590881348,-3.326521158218384,0.20301395143163864,2,-3.470073699951172,-3.1829686164855957
70,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,22222,-7.493596792221069,1.1816158950346898,2,-8.32912540435791,-6.6580681800842285,-3.239506244659424,0.0663704968114393,2,-3.2864372730255127,-3.192575216293335
71,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,22535,-6.158083915710449,1.599320497984213,2,-7.288974285125732,-5.027193546295166,-3.36642324924469,0.5432271901216382,2,-3.7505428791046143,-2.9823036193847656
72,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,22848,-8.353286266326904,0.5932664574846823,2,-8.772789001464844,-7.933783531188965,-3.3193994760513306,0.47423212475972853,2,-3.6547322273254395,-2.9840667247772217
73,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,23161,-7.555993318557739,0.356289563998601,2,-7.807928085327148,-7.30405855178833,-3.1553211212158203,0.17895046115543475,2,-3.281858205795288,-3.0287840366363525
74,1,energy_fc_large_bias,adam1e-3,standard_gaussian,None,23474,-6.366041660308838,1.520540283097226,2,-7.441226005554199,-5.290857315063477,-2.9785274267196655,0.037505468965480335,2,-3.0050477981567383,-2.9520070552825928
75,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,312,-32172289.086660005,71901894.15972239,5,-160794304.0,-14.197172164916992,-3.8787892341613768,0.19102168420049637,5,-4.175091743469238,-3.6554722785949707
76,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,625,-128242421.81979275,184706228.82802376,5,-401604288.0,-12.511163711547852,-3.7708710193634034,0.11972766733604286,5,-3.901743173599243,-3.59293270111084
77,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,938,-inf,,5,-inf,-14.135151863098145,-3.779232978820801,0.13969268726733308,5,-4.0071282386779785,-3.6346089839935303
78,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1251,-14893097393.464258,28754906952.941647,5,-65901953024.0,-15.364253044128418,-3.976923179626465,0.6800178537955386,5,-5.166261672973633,-3.5367252826690674
79,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1564,-1.1057798748464765e+17,2.4725989683079248e+17,5,-5.528899374232371e+17,-45.05855178833008,-3.5651479721069337,0.2674665598148472,5,-3.916407585144043,-3.1915197372436523
80,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,1877,-9805869929993.385,21915735339098.473,5,-49009926340608.0,-147.95433044433594,-3.5413607597351073,0.3357474437213,5,-4.075179576873779,-3.2690343856811523
81,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2190,-83139454.08231583,185804368.79507384,5,-415516384.0,-17.836483001708984,-3.404110336303711,0.059857650953325764,5,-3.497426748275757,-3.334254264831543
82,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2503,-8649491756.102577,19340850126.223797,5,-43247456256.0,-18.582056045532227,-3.15453200340271,0.0668875973760015,5,-3.246711254119873,-3.0931992530822754
83,128,energy_fc_large_bias,adam1e-3,standard_gaussian,None,2816,-1719320898.2058372,3159691272.7136154,5,-7278580224.0,-14.00564956665039,-3.1586769104003904,0.1712409601751493,5,-3.3414855003356934,-2.9075136184692383
